jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1998,1999,2000,2019
Powiat rawicki,3628.0,3758.0,3636.0,3258.0,3024.0,2448.0,1929.0,2031.0,3172.0,2999.0,2759.0,2762.0,2749.0,2278.0,1758.0,1476.0,1267.0,1030.0,2541.0,2962.0,3118.0,988.0
Powiat wolsztyński,3256.0,3314.0,3264.0,2521.0,2347.0,1691.0,860.0,953.0,1694.0,1630.0,1566.0,1777.0,1542.0,1233.0,1049.0,716.0,488.0,410.0,1528.0,2172.0,2820.0,458.0
Powiat m.Leszno,4008.0,4428.0,4263.0,3968.0,3214.0,2515.0,1830.0,1596.0,2556.0,2744.0,2515.0,2757.0,2781.0,2154.0,1833.0,1561.0,1286.0,1187.0,,,3164.0,1054.0
Powiat chodzieski,4983.0,4813.0,4778.0,4555.0,4253.0,3190.0,2114.0,2175.0,2853.0,2957.0,3086.0,3226.0,3113.0,2564.0,2072.0,1935.0,1482.0,1326.0,2160.0,3310.0,4289.0,1402.0
Powiat czarnkowsko-trzcianecki,9099.0,9609.0,9238.0,7983.0,7162.0,5732.0,3715.0,3778.0,5253.0,4868.0,4783.0,4877.0,4715.0,3840.0,2705.0,2273.0,1609.0,1435.0,4380.0,5971.0,7272.0,1369.0
Powiat pilski,11170.0,11014.0,11358.0,10568.0,9114.0,7228.0,5382.0,3975.0,5974.0,5984.0,6429.0,7451.0,6795.0,5360.0,4227.0,3690.0,2829.0,2429.0,5657.0,8041.0,8528.0,2349.0
Powiat wągrowiecki,7169.0,6960.0,6782.0,6399.0,5771.0,4726.0,3738.0,2791.0,4168.0,4504.0,4888.0,5338.0,5185.0,3761.0,2498.0,2032.0,1513.0,1360.0,3362.0,4770.0,5967.0,1074.0
Powiat złotowski,7880.0,7944.0,7258.0,6578.0,6045.0,4667.0,3616.0,3772.0,4585.0,4626.0,4621.0,4719.0,4432.0,3935.0,3538.0,2934.0,2578.0,2237.0,5162.0,6334.0,7147.0,1861.0
Powiat obornicki,4350.0,4902.0,4864.0,4605.0,3922.0,2859.0,1701.0,1179.0,2034.0,2177.0,2261.0,2664.0,2587.0,1962.0,1492.0,1385.0,853.0,766.0,1481.0,2423.0,3185.0,623.0
Powiat poznański,8940.0,11265.0,11433.0,11361.0,10593.0,8189.0,4332.0,2330.0,4846.0,5028.0,5383.0,7123.0,7152.0,5606.0,4720.0,4058.0,3249.0,2620.0,4724.0,10581.0,5377.0,2152.0
Powiat szamotulski,4834.0,5280.0,5566.0,5438.0,5341.0,4186.0,2757.0,2290.0,3803.0,3733.0,3611.0,3915.0,3481.0,2555.0,2235.0,1765.0,1415.0,1181.0,1746.0,2727.0,3424.0,962.0
Powiat średzki,3714.0,3937.0,4605.0,4716.0,4062.0,3381.0,2193.0,2077.0,3130.0,3104.0,3042.0,3247.0,3458.0,2878.0,2530.0,2202.0,1485.0,1391.0,1657.0,2515.0,2901.0,1521.0
Powiat śremski,3715.0,3893.0,4003.0,3500.0,3052.0,2408.0,1333.0,1107.0,2096.0,1977.0,1927.0,2365.0,2330.0,1580.0,1258.0,908.0,594.0,445.0,1325.0,2094.0,2442.0,462.0
Powiat m.Poznań,17062.0,21725.0,21890.0,21544.0,19625.0,15803.0,9302.0,5612.0,10178.0,11200.0,11580.0,13686.0,13530.0,10350.0,7964.0,6578.0,5048.0,4214.0,,,10950.0,3737.0
ZACHODNIOPOMORSKIE,175341.0,189643.0,190864.0,182692.0,168814.0,138866.0,103241.0,82520.0,105905.0,109964.0,108904.0,112521.0,111063.0,94465.0,79393.0,65842.0,52599.0,46002.0,100644.0,130908.0,150084.0,41771.0
Powiat białogardzki,7626.0,7528.0,7599.0,7554.0,6579.0,6648.0,5877.0,5196.0,5064.0,5395.0,4779.0,4840.0,5017.0,4470.0,4087.0,3483.0,2886.0,2760.0,5429.0,6609.0,6894.0,2518.0
