,SLD,Komitet Wyborczy - Akcja Wyborcza Solidarność Prawicy,UW,Samoobrona,PiS,PSL,PO,Komitet Wyborczy Alternatywa Ruch Społeczny,Komitet Wyborczy Polskiej Wspólnoty Narodowej,LPR,"Komitet Wyborczy Wyborców ""Mniejszość Niemiecka""",Komitet Wyborczy Polskiej Unii Gospodarczej,Komitet Wyborczy Polskiej Partii Socjalistycznej,"Komitet Wyborczy Wyborców ""Niemiecka Mniejszość Górnego Śląska"""
Powiat nowosądecki,13787,11116,805,5535,6819,8078,11470,497,,6947.0,,,,
Powiat limanowski,6000,4162,351,3219,4100,6993,9046,598,,3863.0,,,,
Powiat nowotarski,9273,5095,1910,4482,7487,3903,10553,304,,9059.0,,,,
Powiat proszowicki,3203,259,266,2568,364,5707,695,35,,647.0,,,,
Powiat dąbrowski,4465,848,190,2360,1020,5208,2094,43,,1856.0,,,,
Powiat tarnowski,11299,4119,875,6428,5053,11910,7311,185,,9045.0,,,,
Powiat bocheński,7516,2157,652,3819,3187,6739,4011,97,,4463.0,,,,
Powiat wielicki,7845,5113,725,2622,3410,3084,4839,135,,3713.0,,,,
Powiat brzeski,6467,1865,754,2674,2818,4824,4849,109,,4061.0,,,,
Tarnów,17026,3439,1557,2262,6251,1890,7355,134,,5659.0,,,,
Powiat gdański,7646,1267,523,1889,2761,1232,5731,55,,1253.0,,,,
